Contract Month,Last,Change,Open Interest,FALSE,1,3-Jan-17
January,633,3,1489,TRUE,1,3-Jan-17
February,629,-1,1492,TRUE,1,3-Jan-17
March,627,-3,1279,TRUE,1,3-Jan-17
April,610,-2,1179,TRUE,1,3-Jan-17
May,609,-1,1143,TRUE,1,3-Jan-17
June,608,-1,1120,TRUE,1,3-Jan-17
July,605,unc,893,TRUE,1,3-Jan-17
August,605,unc,869,TRUE,1,3-Jan-17
September,605,unc,897,TRUE,1,3-Jan-17
Contract Month,Last,Change,Open Interest,FALSE,2,4-Jan-17
January,633,unc,1506,TRUE,2,4-Jan-17
February,629,unc,1382,TRUE,2,4-Jan-17
March,627,unc,1268,TRUE,2,4-Jan-17
April,610,unc,1334,TRUE,2,4-Jan-17
May,609,unc,1339,TRUE,2,4-Jan-17
June,608,unc,1301,TRUE,2,4-Jan-17
July,605,unc,971,TRUE,2,4-Jan-17
August,605,unc,907,TRUE,2,4-Jan-17
September,605,unc,897,TRUE,2,4-Jan-17
Contract Month,Last,Change,Open Interest,FALSE,3,5-Jan-17
January,628,-5,1506,TRUE,3,5-Jan-17
February,629,unc,1382,TRUE,3,5-Jan-17
March,627,unc,1268,TRUE,3,5-Jan-17
April,612,2,1334,TRUE,3,5-Jan-17
May,611,2,1339,TRUE,3,5-Jan-17
June,610,2,1301,TRUE,3,5-Jan-17
July,607,2,971,TRUE,3,5-Jan-17
August,610,5,907,TRUE,3,5-Jan-17
September,610,5,897,TRUE,3,5-Jan-17
Contract Month,Last,Change,Open Interest,FALSE,4,9-Jan-17
January,625,-3,1506,TRUE,4,9-Jan-17
February,629,unc,1477,TRUE,4,9-Jan-17
March,627,unc,1268,TRUE,4,9-Jan-17
April,618,2,1334,TRUE,4,9-Jan-17
May,617,6,1339,TRUE,4,9-Jan-17
June,615,5,1301,TRUE,4,9-Jan-17
July,615,8,971,TRUE,4,9-Jan-17
August,615,5,907,TRUE,4,9-Jan-17
September,609,-1,877,TRUE,4,9-Jan-17
Contract Month,Last,Change,Open Interest,FALSE,5,11-Jan-17
January,625,unc,1506,TRUE,5,11-Jan-17
February,639,10,1477,TRUE,5,11-Jan-17
March,634,7,1268,TRUE,5,11-Jan-17
April,622,4,1334,TRUE,5,11-Jan-17
May,620,3,1339,TRUE,5,11-Jan-17
June,618,3,1301,TRUE,5,11-Jan-17
July,615,unc,971,TRUE,5,11-Jan-17
August,615,unc,907,TRUE,5,11-Jan-17
September,608,-1,877,TRUE,5,11-Jan-17
Contract Month,Last,Change,Open Interest,FALSE,6,12-Jan-17
January,622,-3,1506,TRUE,6,12-Jan-17
February,642,3,1477,TRUE,6,12-Jan-17
March,636,2,1278,TRUE,6,12-Jan-17
April,624,2,1334,TRUE,6,12-Jan-17
May,622,2,1339,TRUE,6,12-Jan-17
June,605,-13,1301,TRUE,6,12-Jan-17
July,617,unc,971,TRUE,6,12-Jan-17
August,617,unc,907,TRUE,6,12-Jan-17
September,610,2,877,TRUE,6,12-Jan-17
Contract Month,Last,Change,Open Interest,FALSE,7,13-Jan-17
January,622,unc,1506,TRUE,7,13-Jan-17
February,644,2,1477,TRUE,7,13-Jan-17
March,634,-2,1278,TRUE,7,13-Jan-17
April,618,-6,1334,TRUE,7,13-Jan-17
May,614,-8,1339,TRUE,7,13-Jan-17
June,612,7,1301,TRUE,7,13-Jan-17
July,608,-9,971,TRUE,7,13-Jan-17
August,608,-9,907,TRUE,7,13-Jan-17
September,608,-2,877,TRUE,7,13-Jan-17
Contract Month,Last,Change,Open Interest,FALSE,8,23-Jan-17
January,620,-2,1506,TRUE,8,23-Jan-17
February,634,-9,1477,TRUE,8,23-Jan-17
March,620,-14,1278,TRUE,8,23-Jan-17
April,601,-17,1334,TRUE,8,23-Jan-17
May,595,-19,1339,TRUE,8,23-Jan-17
June,595,-17,1301,TRUE,8,23-Jan-17
July,595,-13,971,TRUE,8,23-Jan-17
August,595,-13,907,TRUE,8,23-Jan-17
September,595,-13,877,TRUE,8,23-Jan-17
Contract Month,Last,Change,Open Interest,FALSE,9,24-Jan-17
January,620,unc,1506,TRUE,9,24-Jan-17
February,625,-9,1477,TRUE,9,24-Jan-17
March,617,-3,1278,TRUE,9,24-Jan-17
April,600,-1,1334,TRUE,9,24-Jan-17
May,595,unc,1339,TRUE,9,24-Jan-17
June,590,-5,1301,TRUE,9,24-Jan-17
July,590,-5,971,TRUE,9,24-Jan-17
August,580,-15,907,TRUE,9,24-Jan-17
September,580,-15,877,TRUE,9,24-Jan-17
Contract Month,Last,Change,Open Interest,FALSE,10,1-Sep-16
September,555,unc,1996,TRUE,10,1-Sep-16
October,530,unc,2454,TRUE,10,1-Sep-16
November,530,unc,2016,TRUE,10,1-Sep-16
December,530,5,1807,TRUE,10,1-Sep-16
January,527,unc,1184,TRUE,10,1-Sep-16
February,527,unc,1134,TRUE,10,1-Sep-16
March,527,unc,1030,TRUE,10,1-Sep-16
April,533,unc,885,TRUE,10,1-Sep-16
May,533,Unc,885,TRUE,10,1-Sep-16
Contract Month,Last,Change,Open Interest,FALSE,11,6-Sep-16
September,555,unc,1996,TRUE,11,6-Sep-16
October,530,unc,2454,TRUE,11,6-Sep-16
November,530,unc,2016,TRUE,11,6-Sep-16
December,530,unc,1807,TRUE,11,6-Sep-16
January,527,unc,1184,TRUE,11,6-Sep-16
